sid,score_year,score_band
34387,2013,middle
34388,2013,middle
34464,2013,middle
34556,2013,middle
34788,2013,middle
29866,2013,middle
29873,2013,middle
29882,2013,middle
29888,2013,middle
30172,2013,middle
30177,2013,middle
30194,2013,middle
30250,2013,middle
30300,2013,middle
30371,2013,middle
30372,2013,middle
30406,2013,middle
29634,2013,middle
29635,2013,middle
29825,2013,middle
29855,2013,middle
29872,2013,middle
29890,2013,middle
29919,2013,middle
30027,2013,middle
30134,2013,middle
30143,2013,middle
30170,2013,middle
31185,2013,middle
30178,2013,middle
30358,2013,middle
30359,2013,middle
30374,2013,middle
31202,2013,middle
30409,2013,middle
31203,2013,middle
34952,2013,middle
35866,2013,middle
34960,2013,middle
31212,2013,middle
34961,2013,middle
34966,2013,middle
35070,2013,middle
35436,2013,middle
31334,2013,middle
31363,2013,middle
35438,2013,middle
35506,2013,middle
35514,2013,middle
35867,2013,middle
31407,2013,middle
35876,2013,middle
35887,2013,middle
31412,2013,middle
35896,2013,middle
31685,2013,middle
35959,2013,middle
31735,2013,middle
31738,2013,middle
31835,2013,middle
31905,2013,middle
30410,2013,middle
30411,2013,middle
30413,2013,middle
31989,2013,middle
30414,2013,middle
30446,2013,middle
32053,2013,middle
30518,2013,middle
30557,2013,middle
32059,2013,middle
32060,2013,middle
30589,2013,middle
30591,2013,middle
32064,2013,middle
30677,2013,middle
30723,2013,middle
30724,2013,middle
34195,2013,middle
30408,2013,middle
36174,2013,middle
30412,2013,middle
36192,2013,middle
30458,2013,middle
36364,2013,middle
30461,2013,middle
36613,2013,middle
36981,2013,middle
30476,2013,middle
30496,2013,middle
37863,2013,middle
30516,2013,middle
37985,2013,middle
30523,2013,middle
38069,2013,middle
30892,2013,middle
30894,2013,middle
30914,2013,middle
30962,2013,middle
32095,2013,middle
31120,2013,middle
32212,2013,middle
30740,2013,middle
32317,2013,middle
30741,2013,middle
32322,2013,middle
32348,2013,middle
30893,2013,middle
32374,2013,middle
30895,2013,middle
32391,2013,middle
32497,2013,middle
30896,2013,middle
32606,2013,middle
32629,2013,middle
30944,2013,middle
32737,2013,middle
29336,2013,middle
33027,2013,middle
29455,2013,middle
31121,2013,middle
29462,2013,middle
31140,2013,middle
29639,2013,middle
29642,2013,middle
29759,2013,middle
31147,2013,middle
31276,2013,middle
31301,2013,middle
33052,2013,middle
33151,2013,middle
31304,2013,middle
30964,2013,middle
33155,2013,middle
30972,2013,middle
33163,2013,middle
33165,2013,middle
30988,2013,middle
33217,2013,middle
33236,2013,middle
33255,2013,middle
33609,2013,middle
33636,2013,middle
33643,2013,middle
29856,2013,middle
29860,2013,middle
29861,2013,middle
29921,2013,middle
30140,2013,middle
33920,2013,middle
28593,2013,middle
33926,2013,middle
29410,2013,middle
34004,2013,middle
29638,2013,middle
34049,2013,middle
34105,2013,middle
29824,2013,middle
34193,2013,middle
29828,2013,middle
34200,2013,middle
30104,2013,middle
30190,2013,middle
34329,2013,middle
30269,2013,middle
30270,2013,middle
30418,2013,middle
30949,2013,middle
34334,2013,middle
31198,2013,middle
34379,2013,middle
32234,2013,middle
34381,2013,middle
34396,2013,middle
32439,2013,middle
34428,2013,middle
32739,2013,middle
34465,2013,middle
34554,2013,middle
32749,2013,middle
31092,2013,middle
34573,2013,middle
33237,2013,middle
31131,2013,middle
34592,2013,middle
33243,2013,middle
34800,2013,middle
31190,2013,middle
31132,2013,middle
33258,2013,middle
31417,2013,middle
33566,2013,middle
31480,2013,middle
31133,2013,middle
33761,2013,middle
31549,2013,middle
31551,2013,middle
31137,2013,middle
33998,2013,middle
31616,2013,middle
34192,2013,middle
31718,2013,middle
31162,2013,middle
31719,2013,middle
34206,2013,middle
32048,2013,middle
34309,2013,middle
32089,2013,middle
31205,2013,middle
34414,2013,middle
32090,2013,middle
35071,2013,middle
32229,2013,middle
31220,2013,middle
32233,2013,middle
36001,2013,middle
31292,2013,middle
30171,2013,middle
30237,2013,middle
32235,2013,middle
30263,2013,middle
36014,2013,middle
32237,2013,middle
34959,2013,middle
31309,2013,middle
30266,2013,middle
36195,2013,middle
32283,2013,middle
31333,2013,middle
32293,2013,middle
35898,2013,middle
32307,2013,middle
35877,2013,middle
30363,2013,middle
32382,2013,middle
35513,2013,middle
30376,2013,middle
30407,2013,middle
32433,2013,middle
35511,2013,middle
30467,2013,middle
35387,2013,middle
32442,2013,middle
30658,2013,middle
34962,2013,middle
32734,2013,middle
30726,2013,middle
34970,2013,middle
30957,2013,middle
30967,2013,middle
31144,2013,middle
33167,2013,middle
31277,2013,middle
33172,2013,middle
31302,2013,middle
33201,2013,middle
31310,2013,middle
33012,2013,middle
32897,2013,middle
31367,2013,middle
31455,2013,middle
31613,2013,middle
30946,2013,middle
31675,2013,middle
31836,2013,middle
32030,2013,middle
31365,2013,middle
32236,2013,middle
31386,2013,middle
31395,2013,middle
31496,2013,middle
31714,2013,middle
31934,2013,middle
31966,2013,middle
32051,2013,middle
32058,2013,middle
32061,2013,middle
32084,2013,middle
32292,2013,middle
32093,2013,middle
32306,2013,middle
32367,2013,middle
32423,2013,middle
32436,2013,middle
32129,2013,middle
32438,2013,middle
32142,2013,middle
32738,2013,middle
32213,2013,middle
32268,2013,middle
33178,2013,middle
32282,2013,middle
33556,2013,middle
32316,2013,middle
33563,2013,middle
32371,2013,middle
32372,2013,middle
32405,2013,middle
32434,2013,middle
32621,2013,middle
32628,2013,middle
32639,2013,middle
32664,2013,middle
32896,2013,middle
32951,2013,middle
33006,2013,middle
30238,2013,middle
30245,2013,middle
30249,2013,middle
30252,2013,middle
30253,2013,middle
30254,2013,middle
30275,2013,middle
30303,2013,middle
30362,2013,middle
30381,2013,middle
30389,2013,middle
30390,2013,middle
30447,2013,middle
30495,2013,middle
30532,2013,middle
30551,2013,middle
30576,2013,middle
30663,2013,middle
30676,2013,middle
30765,2013,middle
33570,2013,middle
30814,2013,middle
30815,2013,middle
33602,2013,middle
33247,2013,middle
30820,2013,middle
34002,2013,middle
34003,2013,middle
30859,2013,middle
33256,2013,middle
34189,2013,middle
33533,2013,middle
34201,2013,middle
33535,2013,middle
34218,2013,middle
33684,2013,middle
34403,2013,middle
34460,2013,middle
34000,2013,middle
34557,2013,middle
34100,2013,middle
34584,2013,middle
34104,2013,middle
34106,2013,middle
34179,2013,middle
34215,2013,middle
34420,2013,middle
34581,2013,middle
34588,2013,middle
34653,2013,middle
34764,2013,middle
34798,2013,middle
34803,2013,middle
