sid,audio_file,audio_year,audio_band
29640,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29640/29640.mp3,2013,middle
29641,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29641/29641.mp3,2013,middle
29642,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29642/29642.mp3,2013,middle
29645,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29645/29645.mp3,2013,middle
29648,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29648/29648.mp3,2013,middle
29649,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29649/29649.mp3,2013,middle
29653,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29653/29653.mp3,2013,middle
29658,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29658/29658.mp3,2013,middle
29664,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29664/29664.mp3,2013,middle
29670,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29670/29670.mp3,2013,middle
29671,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29671/29671.mp3,2013,middle
29756,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29756/29756.mp3,2013,middle
29758,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29758/29758.mp3,2013,middle
29759,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29759/29759.mp3,2013,middle
29824,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29824/29824.mp3,2013,middle
29825,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29825/29825.mp3,2013,middle
29828,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29828/29828.mp3,2013,middle
29844,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29844/29844.mp3,2013,middle
29845,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29845/29845.mp3,2013,middle
29846,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29846/29846.mp3,2013,middle
29847,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29847/29847.mp3,2013,middle
29848,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29848/29848.mp3,2013,middle
29850,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29850/29850.mp3,2013,middle
29851,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29851/29851.mp3,2013,middle
29852,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29852/29852.mp3,2013,middle
29853,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29853/29853.mp3,2013,middle
29854,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29854/29854.mp3,2013,middle
29855,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29855/29855.mp3,2013,middle
29856,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29856/29856.mp3,2013,middle
29859,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29859/29859.mp3,2013,middle
29860,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29860/29860.mp3,2013,middle
29861,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29861/29861.mp3,2013,middle
29863,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29863/29863.mp3,2013,middle
29864,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29864/29864.mp3,2013,middle
29865,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29865/29865.mp3,2013,middle
29866,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29866/29866.mp3,2013,middle
29867,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29867/29867.mp3,2013,middle
29870,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29870/29870.mp3,2013,middle
29871,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29871/29871.mp3,2013,middle
29872,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29872/29872.mp3,2013,middle
29873,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29873/29873.mp3,2013,middle
