sid,score_year,score_band,audio_file,audio_year,audio_band,segmentation_year,segmentation_band
89868,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89868.mp3,2018.0,concert,,
89870,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89870.mp3,2018.0,concert,,
89875,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89875.mp3,2018.0,symphonic,,
89876,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89876.mp3,2018.0,concert,,
89878,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89878.mp3,2018.0,concert,,
89884,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89884.mp3,2018.0,symphonic,,
89885,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89885.mp3,2018.0,concert,,
89886,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89886.mp3,2018.0,concert,,
89888,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89888.mp3,2018.0,concert,,
89892,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89892.mp3,2018.0,concert,,
89894,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89894.mp3,2018.0,concert,,
89898,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89898.mp3,2018.0,concert,,
89899,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89899.mp3,2018.0,concert,,
89900,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89900.mp3,2018.0,concert,,
89901,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89901.mp3,2018.0,symphonic,,
89902,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89902.mp3,2018.0,concert,,
89904,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89904.mp3,2018.0,symphonic,,
89917,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89917.mp3,2018.0,middle,,
89919,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89919.mp3,2018.0,middle,,
89920,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89920.mp3,2018.0,symphonic,,
89935,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89935.mp3,2018.0,middle,,
89939,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89939.mp3,2018.0,middle,,
89941,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89941.mp3,2018.0,symphonic,,
89943,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89943.mp3,2018.0,concert,,
89945,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89945.mp3,2018.0,symphonic,,
89947,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89947.mp3,2018.0,concert,,
89949,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89949.mp3,2018.0,middle,,
89956,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89956.mp3,2018.0,symphonic,,
89958,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/89958.mp3,2018.0,symphonic,,
89961,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/89961.mp3,2018.0,concert,,
89970,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89970.mp3,2018.0,middle,,
89976,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89976.mp3,2018.0,middle,,
89977,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89977.mp3,2018.0,middle,,
89979,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89979.mp3,2018.0,middle,,
89983,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89983.mp3,2018.0,middle,,
89984,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89984.mp3,2018.0,middle,,
89985,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89985.mp3,2018.0,middle,,
89988,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89988.mp3,2018.0,middle,,
89989,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/89989.mp3,2018.0,middle,,
90005,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/90005.mp3,2018.0,symphonic,,
90006,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/90006.mp3,2018.0,symphonic,,
90007,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/90007.mp3,2018.0,symphonic,,
90009,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/90009.mp3,2018.0,symphonic,,
90010,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/90010.mp3,2018.0,concert,,
90012,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/90012.mp3,2018.0,symphonic,,
90014,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/90014.mp3,2018.0,symphonic,,
90016,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/90016.mp3,2018.0,symphonic,,
90017,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90017.mp3,2018.0,middle,,
90018,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90018.mp3,2018.0,middle,,
90022,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90022.mp3,2018.0,middle,,
90023,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90023.mp3,2018.0,middle,,
90025,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/90025.mp3,2018.0,concert,,
90027,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90027.mp3,2018.0,middle,,
90028,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90028.mp3,2018.0,middle,,
90029,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90029.mp3,2018.0,middle,,
90031,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90031.mp3,2018.0,middle,,
90032,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90032.mp3,2018.0,middle,,
90034,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90034.mp3,2018.0,middle,,
90035,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90035.mp3,2018.0,middle,,
90038,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90038.mp3,2018.0,middle,,
90044,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/90044.mp3,2018.0,middle,,
90048,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/90048.mp3,2018.0,concert,,
