sid,score_year,score_band,audio_file,audio_year,audio_band,segmentation_year,segmentation_band
87610,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87610.mp3,2018.0,symphonic,,
87611,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87611.mp3,2018.0,symphonic,,
87612,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87612.mp3,2018.0,symphonic,2018.0,symphonic
87615,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87615.mp3,2018.0,symphonic,,
87617,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87617.mp3,2018.0,concert,,
87618,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87618.mp3,2018.0,symphonic,,
87619,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87619.mp3,2018.0,symphonic,,
87620,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87620.mp3,2018.0,concert,2018.0,concert
87621,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87621.mp3,2018.0,symphonic,,
87622,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87622.mp3,2018.0,symphonic,,
87623,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87623.mp3,2018.0,symphonic,,
87624,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87624.mp3,2018.0,concert,,
87625,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87625.mp3,2018.0,concert,2018.0,concert
87626,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87626.mp3,2018.0,concert,,
87627,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87627.mp3,2018.0,concert,,
87628,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87628.mp3,2018.0,symphonic,,
87629,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87629.mp3,2018.0,symphonic,2018.0,symphonic
87630,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87630.mp3,2018.0,symphonic,2018.0,symphonic
